Beach,Date,Total_Coliforms,E_Coli,Enterococci,Sufficient,OBJECTID
Portrane - Tower Bay,08/09/2014,,10,4,n/r ,635
Portrane - Tower Bay,26/05/2015,,n/r ,n/r ,n/r ,636
Portrane - Tower Bay,02/06/2015,,n/r ,n/r ,n/r ,637
Portrane - Tower Bay,15/06/2015,,n/r ,n/r ,n/r ,638
Portrane - Tower Bay,29/06/2015,,n/r ,n/r ,n/r ,639
Portrane - Tower Bay,08/07/2015,,n/r ,n/r ,n/r ,640
Portrane - Tower Bay,13/07/2015,,n/r ,n/r ,n/r ,641
Portrane - Tower Bay,27/07/2015,,n/r ,n/r ,n/r ,642
Portrane - Tower Bay,10/08/2015,,n/r ,n/r ,n/r ,643
Portrane - Tower Bay,24/08/2015,,n/r ,n/r ,n/r ,644
Portrane - Tower Bay,07/09/2015,,n/r ,n/r ,n/r ,645
Portrane - Tower Bay,31/05/2016,,n/r ,n/r ,n/r ,646
Portrane - Tower Bay,07/06/2016,,n/r ,n/r ,n/r ,647
Portrane - Tower Bay,14/06/2016,,n/r ,n/r ,n/r ,648
Portrane - Tower Bay,20/06/2016,,n/r ,n/r ,n/r ,649
Portrane - Tower Bay,28/06/2016,,n/r ,n/r ,n/r ,650
Portrane - Tower Bay,04/07/2016,,n/r ,n/r ,n/r ,651
Portrane - Tower Bay,18/07/2016,,n/r ,n/r ,n/r ,652
Portrane - Tower Bay,02/08/2016,,n/r ,n/r ,n/r ,653
Portrane - Tower Bay,15/08/2016,,n/r ,n/r ,n/r ,654
Portrane - Tower Bay,29/08/2016,,n/r ,n/r ,n/r ,655
Portrane - Tower Bay,12/09/2016,,n/r ,n/r ,n/r ,656
Portrane - Tower Bay,22/05/2017,,n/r ,n/r ,n/r ,657
Portrane - Tower Bay,06/06/2017,,n/r ,n/r ,n/r ,658
Portrane - Tower Bay,19/06/2017,,n/r ,n/r ,n/r ,659
Portrane - Tower Bay,03/07/2017,,n/r ,n/r ,n/r ,660
Portrane - Tower Bay,18/07/2017,,n/r ,n/r ,n/r ,661
Portrane - Tower Bay,19/06/2017,,n/r ,n/r ,n/r ,662
Rush - North Beach,10/05/2010,520,182,nr,n/r ,663
Rush - North Beach,11/05/2010,24196,10462,5600,n/r ,664
Rush - North Beach,18/05/2010,55,9,nr,n/r ,665
Rush - North Beach,19/05/2010,10,40,0,n/r ,666
Rush - North Beach,24/05/2010,259,110,110,n/r ,667
Rush - North Beach,25/05/2010,55,73,nr,n/r ,668
Rush - North Beach,31/05/2010,9,9,nr,n/r ,669
Rush - North Beach,08/06/2010,2100,580,nr,n/r ,670
Rush - North Beach,09/06/2010,767,110,67,n/r ,671
Rush - North Beach,14/06/2010,220,91,nr,n/r ,672
Rush - North Beach,21/06/2010,300,64,nr,n/r ,673
Rush - North Beach,22/06/2010,63,10,0,n/r ,674
Rush - North Beach,28/06/2010,9,9,nr,n/r ,675
Rush - North Beach,07/07/2010,210,36,nr,n/r ,676
Rush - North Beach,08/07/2010,473,86,23,n/r ,677
Rush - North Beach,13/07/2010,155,73,nr,n/r ,678
Rush - North Beach,20/07/2010,45,9,nr,n/r ,679
Rush - North Beach,21/07/2010,272,10,11,n/r ,680
Rush - North Beach,26/07/2010,700,740,nr,n/r ,681
Rush - North Beach,03/08/2010,18,9,nr,n/r ,682
Rush - North Beach,09/08/2010,955,864,nr,n/r ,683
Rush - North Beach,16/08/2010,9,9,nr,n/r ,684
Rush - North Beach,18/08/2010,41,10,5,n/r ,685
Rush - North Beach,23/08/2010,882,73,nr,n/r ,686
Rush - North Beach,30/08/2010,9,9,nr,n/r ,687
Rush - North Beach,08/09/2010,1187,121,146,n/r ,688
Rush - North Beach,13/09/2010,100,9,nr,n/r ,689
Rush - North Beach,30/05/2012,,1396,60,n/r ,690
Rush - North Beach,13/06/2012,,75,10,n/r ,691
Rush - North Beach,18/06/2012,,10,1,n/r ,692
Rush - North Beach,02/07/2012,,20,5,n/r ,693
Rush - North Beach,17/07/2012,,199,119,n/r ,694
Rush - North Beach,31/07/2012,,145,260,n/r ,695
Rush - North Beach,14/08/2012,,173,33,n/r ,696
Rush - North Beach,28/08/2012,,85,45,n/r ,697
Rush - North Beach,22/05/2013,,109,16,n/r ,698
Rush - North Beach,26/05/2013,,41,6,n/r ,699
Rush - North Beach,04/06/2013,,20,1,n/r ,700
Rush - North Beach,19/06/2013,,20,5,n/r ,701
Rush - North Beach,02/07/2013,,75,15,n/r ,702
Rush - North Beach,17/07/2013,,135,47,n/r ,703
Rush - North Beach,06/08/2013,,20,17,n/r ,704
Rush - North Beach,19/08/2013,,41,6,n/r ,705
Rush - North Beach,03/09/2013,,10,5,n/r ,706
Rush - North Beach,10/06/2014,,109,14,n/r ,707
Rush - North Beach,24/06/2014,,20,10,n/r ,708
Rush - North Beach,08/07/2014,,10,1,n/r ,709
Rush - North Beach,22/07/2014,,10,1,n/r ,710
Rush - North Beach,28/07/2014,,31,13,n/r ,711
Rush - North Beach,05/08/2014,,759,1230,n/r ,712
Rush - North Beach,19/08/2014,,160,17,n/r ,713
Rush - North Beach,25/08/2014,,1842,240,n/r ,714
Rush - North Beach,27/08/2014,,697,82,n/r ,715
Rush - North Beach,08/09/2014,,121,89,n/r ,716
Rush - North Beach,26/05/2015,,n/r ,n/r ,n/r ,717
Rush - North Beach,02/06/2015,,n/r ,n/r ,n/r ,718
Rush - North Beach,15/06/2015,,n/r ,n/r ,n/r ,719
Rush - North Beach,29/06/2015,,n/r ,n/r ,n/r ,720
Rush - North Beach,08/07/2015,,n/r ,n/r ,n/r ,721
Rush - North Beach,13/07/2015,,n/r ,n/r ,n/r ,722
Rush - North Beach,27/07/2015,,n/r ,n/r ,n/r ,723
Rush - North Beach,10/08/2015,,n/r ,n/r ,n/r ,724
Rush - North Beach,24/08/2015,,n/r ,n/r ,n/r ,725
Rush - North Beach,07/09/2015,,n/r ,n/r ,n/r ,726
Rush North Beach,31/05/2016,,31,4,Excellent,727
Rush North Beach,07/06/2016,,20,8,Excellent,728
Rush North Beach,14/06/2016,,31,10,Excellent,729
Rush North Beach,20/06/2016,,75,81,Excellent,730
Rush North Beach,28/06/2016,,30,26,Excellent,731
Rush North Beach,04/07/2016,,120,61,Excellent,732
Rush North Beach,18/07/2016,,10,3,Excellent,733
Rush North Beach,02/08/2016,,368,210,Good,734
Rush North Beach,15/08/2016,,10,1,Excellent,735
Rush North Beach,29/08/2016,,171,29,Excellent,736
Rush North Beach,12/09/2016,,2187,420,Poor Water,737
Rush North Beach,14/09/2016,,295,15,Good,738
Rush North Beach,22/05/2017,,836,95,Sufficient,739
Rush North Beach,06/06/2017,,10,24,Excellent,740
Rush North Beach,19/06/2017,,52,8,Excellent,741
Rush North Beach,19/06/2017,,52,8,Excellent,742
Rush North Beach,03/07/2017,,10,5,Excellent,743
Rush North Beach,18/07/2017,,41,11,Excellent,744
Rush - South Beach,10/05/2010,9,9,9,,745
Rush - South Beach,11/05/2010,10,10,2,,746
Rush - South Beach,18/05/2010,36,9,1,,747
Rush - South Beach,25/05/2010,620,155,28,,748
Rush - South Beach,31/05/2010,18,9,16,,749
Rush - South Beach,08/06/2010,780,310,66,,750
Rush - South Beach,09/06/2010,189,75,3,,751
Rush - South Beach,14/06/2010,9,9,9,,752
Rush - South Beach,21/06/2010,35,18,15,,753
Rush - South Beach,22/06/2010,63,10,5,,754
Rush - South Beach,28/06/2010,155,136,125,,755
Rush - South Beach,06/07/2010,9,18,6,,756
Rush - South Beach,07/07/2010,200,100,44,,757
Rush - South Beach,08/07/2010,85,41,4,,758
Rush - South Beach,13/07/2010,73,18,14,,759
Rush - South Beach,20/07/2010,18,18,6,,760
Rush - South Beach,21/07/2010,,,,,761
Rush - South Beach,26/07/2010,155,73,28,,762
Rush - South Beach,03/08/2010,9,9,3,,763
Rush - South Beach,05/08/2010,10,10,3,,764
Rush - South Beach,09/08/2010,260,27,55,,765
Rush - South Beach,16/08/2010,9,9,3,,766
Rush - South Beach,18/08/2010,52,10,12,,767
Rush - South Beach,23/08/2010,790,240,89,,768
Rush - South Beach,30/08/2010,9,9,1,,769
Rush - South Beach,08/09/2010,15531,2909,650,,770
Rush - South Beach,13/09/2010,1091,340,49,,771
Rush - South Beach,30/05/2012,,20,4,,772
Rush - South Beach,13/06/2012,,122,27,,773
Rush - South Beach,18/06/2012,,134,13,,774
Rush - South Beach,02/07/2012,,74,95,,775
Rush - South Beach,17/07/2012,,275,190,,776
Rush - South Beach,31/07/2012,,2143,840,,777
Rush - South Beach,14/08/2012,,30,23,,778
Rush - South Beach,28/08/2012,,644,186,,779
Rush - South Beach,22/05/2013,,10,1,,780
Rush - South Beach,26/05/2013,,20,1,,781
Rush - South Beach,04/06/2013,,10,2,,782
Rush - South Beach,19/06/2013,,10,1,,783
Rush - South Beach,02/07/2013,,10,2,,784
Rush - South Beach,17/07/2013,,52,20,,785
Rush - South Beach,06/08/2013,,10,1,,786
Rush - South Beach,19/08/2013,,41,11,,787
Rush - South Beach,03/09/2013,,20,3,,788
Rush - South Beach,10/06/2014,,73,190,,789
Rush - South Beach,24/06/2014,,20,84,,790
Rush - South Beach,08/07/2014,,10,1,,791
Rush - South Beach,22/07/2014,,10,4,,792
Rush - South Beach,28/07/2014,,20,46,,793
Rush - South Beach,05/08/2014,,631,290,,794
Rush - South Beach,07/08/2014,,41,79,,795
Rush - South Beach,12/08/2014,,598,440,,796
Rush - South Beach,18/08/2014,,10,1,,797
Rush - South Beach,19/08/2014,,10,11,,798
Rush - South Beach,25/08/2014,,109,101,,799
Rush - South Beach,08/09/2014,,74,20,,800
Rush - South Beach,26/05/2015,,10,1,,801
Rush - South Beach,02/06/2015,,279,53,,802
Rush - South Beach,15/06/2015,,624,15,,803
Rush - South Beach,29/06/2015,,31,53,,804
Rush - South Beach,08/07/2015,,185,490,,805
Rush - South Beach,13/07/2015,,122,49,,806
Rush - South Beach,27/07/2015,,63,15,,807
Rush - South Beach,10/08/2015,,10,5,,808
Rush - South Beach,24/08/2015,,63,25,,809
Rush - South Beach,07/09/2015,,10,1,,810
Rush South Beach,31/05/2016,,41,2,Excellent,811
Rush South Beach,14/06/2016,,31,8,Excellent,812
Rush South Beach,20/06/2016,,160,79,Excellent,813
Rush South Beach,28/06/2016,,31,18,Excellent,814
Rush South Beach,04/07/2016,,1529,800,Poor Water,815
Rush South Beach,07/07/2016,,85,42,Excellent,816
Rush South Beach,18/07/2016,,86,43,Excellent,817
Rush South Beach,02/08/2016,,52,95,Excellent,818
Rush South Beach,15/08/2016,,10,28,Excellent,819
Rush South Beach,29/08/2016,,20,33,Excellent,820
Rush South Beach,12/09/2016,,20,2,Excellent,821
Rush South Beach,14/09/2016,,74,27,Excellent,822
Rush South Beach,22/05/2017,,110,100,Excellent,823
Rush South Beach,06/06/2017,,10,14,Excellent,824
Rush South Beach,19/06/2017,,10,1,Excellent,825
Rush South Beach,19/06/2017,,10,1,Excellent,826
Rush South Beach,03/07/2017,,10,3,Excellent,827
Rush South Beach,18/07/2017,,20,10,Excellent,828
Skerries,10/05/2010,82,82,84,,829
Skerries,11/05/2010,10,10,1,,830
Skerries,18/05/2010,27,9,3,,831
Skerries,25/05/2010,210,91,51,,832
Skerries,31/05/2010,9,9,4,,833
Skerries,08/06/2010,164,64,63,,834
Skerries,09/06/2010,20,10,1,,835
Skerries,14/06/2010,145,9,8,,836
Skerries,21/06/2010,27,9,5,,837
Skerries,22/06/2010,63,20,2,,838
Skerries,28/06/2010,82,45,420,,839
Skerries,06/07/2010,9,9,5,,840
Skerries,07/07/2010,27,27,47,,841
Skerries,08/07/2010,10,10,0,,842
Skerries,13/07/2010,9,9,5,,843
Skerries,20/07/2010,36,18,2,,844
Skerries,21/07/2010,52,41,2,,845
Skerries,26/07/2010,9,9,2,,846
Skerries,03/08/2010,9,9,1,,847
Skerries,05/08/2010,161,148,0,,848
Skerries,09/08/2010,18,18,42,,849
Skerries,16/08/2010,9,9,6,,850
Skerries,18/08/2010,31,20,2,,851
Skerries,23/08/2010,9,9,5,,852
Skerries,30/08/2010,9,9,1,,853
Skerries,08/09/2010,471,160,13,,854
Skerries,13/09/2010,9,9,1,,855
Skerries,30/05/2012,,10,1,,856
Skerries,13/06/2012,,243,26,,857
Skerries,18/06/2012,,161,14,,858
Skerries,02/07/2012,,10,13,,859
Skerries,17/07/2012,,52,2,,860
Skerries,31/07/2012,,265,40,,861
Skerries,14/08/2012,,395,48,,862
Skerries,28/08/2012,,98,41,,863
Skerries,22/05/2013,,10,3,,864
Skerries,26/05/2013,,1236,21,,865
Skerries,04/06/2013,,10,1,,866
Skerries,19/06/2013,,10,1,,867
Skerries,02/07/2013,,10,21,,868
Skerries,17/07/2013,,30,7,,869
Skerries,06/08/2013,,10,1,,870
Skerries,19/08/2013,,10,46,,871
Skerries,03/09/2013,,10,2,,872
Skerries,10/06/2014,,110,17,,873
Skerries,24/06/2014,,10,3,,874
Skerries,08/07/2014,,10,3,,875
Skerries,22/07/2014,,122,15,,876
Skerries,28/07/2014,,10,22,,877
Skerries,05/08/2014,,448,460,,878
Skerries,07/08/2014,,20,4,,879
Skerries,12/08/2014,,189,210,,880
Skerries,19/08/2014,,63,1,,881
Skerries,25/08/2014,,134,39,,882
Skerries,08/09/2014,,262,63,,883
Skerries,26/05/2015,,10,1,,884
Skerries,02/06/2015,,98,64,,885
Skerries,15/06/2015,,187,16,,886
Skerries,29/06/2015,,10,1,,887
Skerries,08/07/2015,,203,10,,888
Skerries,13/07/2015,,175,16,,889
Skerries,27/07/2015,,63,17,,890
Skerries,10/08/2015,,120,4,,891
Skerries,24/08/2015,,52,13,,892
Skerries,07/09/2015,,10,1,,893
Skerries South Beach,31/05/2016,,31,1,Excellent,894
Skerries,07/06/2016,,10,3,Excellent,895
Skerries,14/06/2016,,10,3,Excellent,896
Skerries,20/06/2016,,20,46,Excellent,897
Skerries,28/06/2016,,52,31,Excellent,898
Skerries,04/07/2016,,146,20,Excellent,899
Skerries,18/07/2016,,110,32,Excellent,900
Skerries,20/07/2016,,41,12,Excellent,901
Skerries,15/08/2016,,75,15,Excellent,902
Skerries,02/08/2016,,98,92,Excellent,903
Skerries,29/08/2016,,20,2,Excellent,904
Skerries,12/09/2016,,565,54,Sufficient,905
Skerries,22/05/2017,,175,20,Excellent,906
Skerries,06/06/2017,,20,8,Excellent,907
Skerries,19/06/2017,,20,16,Excellent,908
Skerries,19/06/2017,,20,16,Excellent,909
Skerries,03/07/2017,,520,38,Sufficient,910
Skerries,18/07/2017,,31,4,Excellent,911
Sutton,10/05/2010,145,100,95,n/r ,912
Sutton,11/05/2010,10,10,0,n/r ,913
Sutton,18/05/2010,9,9,1,n/r ,914
Sutton,25/05/2010,82,27,10,n/r ,915
Sutton,31/05/2010,9,9,4,n/r ,916
Sutton,08/06/2010,127,27,12,n/r ,917
Sutton,09/06/2010,161,75,18,n/r ,918
Sutton,14/06/2010,82,73,65,n/r ,919
Sutton,21/06/2010,9,9,2,n/r ,920
Sutton,22/06/2010,52,10,1,n/r ,921
Sutton,29/06/2010,27,9,20,n/r ,922
Sutton,06/07/2010,9,9,1,n/r ,923
Sutton,07/07/2010,36,9,7,n/r ,924
Sutton,08/07/2010,63,10,10,n/r ,925
Sutton,13/07/2010,64,64,82,n/r ,926
Sutton,20/07/2010,73,45,11,n/r ,927
Sutton,21/07/2010,134,41,2,n/r ,928
Sutton,26/07/2010,18,9,5,n/r ,929
Sutton,03/08/2010,27,9,13,n/r ,930
Sutton,05/08/2010,173,63,4,n/r ,931
Sutton,09/08/2010,873,864,44,n/r ,932
Sutton,16/08/2010,45,9,10,n/r ,933
Sutton,18/08/2010,218,52,10,n/r ,934
Sutton,23/08/2010,8000,2800,440,n/r ,935
Sutton,30/08/2010,9,9,11,n/r ,936
Sutton,08/09/2010,471,160,13,n/r ,937
Sutton,13/09/2010,1036,127,37,n/r ,938
Sutton,30/05/2012,,20,6,n/r ,939
Sutton,13/06/2012,,10,6,n/r ,940
Sutton,18/06/2012,,10,1,n/r ,941
Sutton,02/07/2012,,63,34,n/r ,942
Sutton,17/07/2012,,41,8,n/r ,943
Sutton,31/07/2012,,52,4,n/r ,944
Sutton,14/08/2012,,20,5,n/r ,945
Sutton,28/08/2012,,10,12,n/r ,946
Sutton,22/05/2013,,10,1,n/r ,947
Sutton,26/05/2013,,10,6,n/r ,948
Sutton,04/06/2013,,10,1,n/r ,949
Sutton,19/06/2013,,10,2,n/r ,950
Sutton,02/07/2013,,10,14,n/r ,951
Sutton,17/07/2013,,10,2,n/r ,952
Sutton,06/08/2013,,10,68,n/r ,953
Sutton,19/08/2013,,41,4,n/r ,954
Sutton,03/09/2013,,10,3,n/r ,955
Sutton,10/06/2014,,10,40,n/r ,956
Sutton,24/06/2014,,10,2,n/r ,957
Sutton,24/06/2014,,10,2,n/r ,958
Sutton,22/07/2014,,31,2,n/r ,959
Sutton,28/07/2014,,20,1,n/r ,960
Sutton,05/08/2014,,20,7,n/r ,961
Sutton,19/08/2014,,10,1,n/r ,962
Sutton,25/08/2014,,63,20,n/r ,963
Sutton,08/09/2014,,10,8,n/r ,964
Sutton,26/05/2015,,10,6,n/r ,965
Sutton,02/06/2015,,109,67,n/r ,966
Sutton,15/06/2015,,10,1,n/r ,967
Sutton,29/06/2015,,10,1,n/r ,968
Sutton,08/07/2015,,20,57,n/r ,969
Sutton,13/07/2015,,52,5,n/r ,970
Sutton,27/07/2015,,10,13,n/r ,971
Sutton,10/08/2015,,10,7,n/r ,972
Sutton,24/08/2015,,20,20,n/r ,973
Sutton,07/09/2015,,41,5,n/r ,974
Sutton,31/05/2016,,10,1,Excellent,975
"Burrow Beach, Sutton",07/06/2016,,31,3,Excellent,976
"Burrow Beach, Sutton",09/06/2016,,10,1,Excellent,977
"Burrow Beach, Sutton",14/06/2016,,10,1,Excellent,978
"Burrow Beach, Sutton",20/06/2016,,10,11,Excellent,979
"Burrow Beach, Sutton",28/06/2016,,20,4,Excellent,980
"Burrow Beach, Sutton",29/06/2016,,10,36,Excellent,981
"Burrow Beach, Sutton",04/07/2016,,10,4,Excellent,982
"Burrow Beach, Sutton",18/07/2016,,10,1,Excellent,983
"Burrow Beach, Sutton",02/08/2016,,20,7,Excellent,984
"Burrow Beach, Sutton",15/08/2016,,97,5,Excellent,985
"Burrow Beach, Sutton",29/08/2016,,10,2,Excellent,986
"Burrow Beach, Sutton",12/09/2016,,109,10,Excellent,987
Burrow Beach Sutton,22/05/2017,,10,14,Excellent,988
Burrow Beach Sutton,06/06/2017,,10,2,Excellent,989
Burrow Beach Sutton,19/06/2017,,10,2,Excellent,990
Burrow Beach Sutton,19/06/2017,,10,2,Excellent,991
Burrow Beach Sutton,03/07/2017,,10,2,Excellent,992
Burrow Beach Sutton,18/07/2017,,10,3,Excellent,993
Ireland's Eye,27/06/2016,,10,1,Excellent,994
Balscadden Bay,27/06/2016,,10,1,Excellent,995
Loughshinny Stream A   ,23/05/2016,,3255,970,Poor Water,996
